Swiss German,English
s Guetzli,the cookie
s Güggeli,the roast chicken
d Stube,the living room
s Lavabo,the sink
s Zmorge,the breakfast
s Zmittag,the lunch
s Znacht,the dinner
s Znüni,the morning snack
s Zvieri,the afternoon snack
de Kafi,the coffee
de Chäs,the cheese
d Schoggi,the chocolate
d Rösti,the rosti
s Fondue,the fondue
s Raclette,the raclette
d Beiz,the pub
s Sackmesser,the Swiss Army knife
s Tram,the tram
s Billet,the ticket
s Velo,the bicycle
s Trotinett,the scooter
s Trottoir,the sidewalk
s Postauto,the yellow bus
d Badi,the outdoor pool
s Seeli,the small lake
de Bärg,the mountain
s Tal,the valley
d Alp,the alpine pasture
d Hütte,the mountain hut
de Wald,the forest
d Wiese,the meadow
de Schnee,the snow
d Lawine,the avalanche
de Skilift,the ski lift
d Piste,the ski slope
de Güsel,the trash
d Güseltonne,the trash bin
s Chuchichäschtli,the kitchen cabinet
d Rollade,the window blind
s Duvet,the blanket
d Hausschueh,the slippers
s Handy,the phone
de Lade,the shop
d Schuel,the school
d Lehrstell,the apprenticeship
de Stift,the apprentice
de Chef,the boss
de Lohn,the salary
d Krankekasse,the health insurance
d Gemeinde,the municipality
d Abstimmig,the vote
d Schwiiz,Switzerland
s Dialäkt,the dialect
d Mundart,Swiss German
s Hochdütsch,Standard German
dä Grüess,the greeting
Hoi,hi
Adieu,bye
Merci,thanks
Bitte,please / you're welcome
gumpe,to jump
laufe,to walk / to run
renne,to run fast
schaffe,to work
lerne,to learn
esse,to eat
trinke,to drink
schlafe,to sleep
rede,to talk
lose,to listen
lache,to laugh
brüele,to cry
gseh,to see
finde,to find
denke,to think
wüsse,to know
meine,to mean
glaube,to believe
ha,to have
si,to be
chönne,to be able to
müesse,to have to
welle,to want to
zahle,to pay
zügle,to move house
